STATE,OZONE
AK,30.8
AL,32.64
AR,30.72
AZ,26.6225
CA,26.733333333333334
CO,30.502499999999998
CT,30.53
FL,33.1525
GA,30.63
HI,32.87
ID,30.3975
IL,29.30142857142857
IN,29.669999999999998
KS,30.95
KY,24.072499999999998
LA,33.775000000000006
MD,30.233333333333334
ME,31.502
MI,30.65
MN,35.150000000000006
MS,30.58
MT,31.8
NC,31.367499999999996
ND,32.37
NE,33.83
NH,23.325
NJ,10.1
NM,26.66
NV,32.86
NY,24.328888888888887
OH,32.03285714285714
OK,26.18
ON,35.125
PA,27.40666666666667
SD,19.91
TN,27.832
TX,29.863333333333333
UT,28.979999999999997
VA,28.275000000000002
VI,30.85
VT,28.174999999999997
WA,18.525
WI,30.53
WV,25.156666666666666
WY,26.39111111111111
