STATE,OZONE
AK,28.58666666666667
AL,34.13
AR,35.19
AZ,32.0475
CA,31.550000000000004
CO,37.1075
CT,34.77
FL,30.67
GA,24.494999999999997
HI,24.9
ID,37.2975
IL,35.604285714285716
IN,34.663333333333334
KS,23.564999999999998
KY,31.4925
LA,33.92
MD,38.46333333333333
ME,34.136
MI,34.6125
MN,38.43
MS,32.01
MT,26.72
NC,35.341249999999995
ND,37.72
NE,34.57
NH,34.225
NJ,34.22
NM,33.79
NV,32.125
NY,33.29444444444445
OH,32.10285714285714
OK,33.58
ON,27.009999999999998
PA,33.666666666666664
SD,34.69
TN,33.18
TX,36.64
UT,33.337500000000006
VA,34.0575
VI,38.34
VT,34.21
WA,38.9125
WI,30.92
WV,30.87
WY,34.48444444444445
