STATE,OZONE
AK,28.0
AL,31.75
AR,32.22
AZ,30.7275
CA,24.758888888888887
CO,32.5225
CT,31.41
FL,29.557499999999997
GA,26.41
HI,28.19
ID,34.48
IL,30.435714285714287
IN,24.459999999999997
KS,24.305
KY,28.441250000000004
LA,32.485
MD,30.653333333333336
ME,28.68
MI,24.7525
MN,24.88
MS,29.73
MT,27.52
NC,32.058749999999996
ND,33.27
NE,27.16
NH,20.674999999999997
NJ,8.41
NM,29.61
NV,26.88
NY,20.682666666666663
OH,31.475714285714286
OK,28.16
ON,27.465
PA,26.513333333333335
SD,7.122000000000001
TN,29.554000000000002
TX,29.436666666666667
UT,28.735
VA,26.185
VI,30.9
VT,30.235
WA,31.21
WI,31.69
WV,30.613333333333333
WY,27.528888888888886
