"SITE_ID","SITE_NUM","SITE_NAME","STATE","COUNTY","LATITUDE","LONGITUDE","UPDATE_DATE"
"COW182","182.0","Coweeta Special","NC","Macon","35.060527","-83.43034","01/30/2020 13:25:29"
"CTH110","110.0","Connecticut Hill","NY","Tompkins","42.400875","-76.653516","01/30/2020 13:25:29"
"CVL151","151.0","Coffeeville","MS","Yalobusha","34.002747","-89.799183","01/30/2020 13:25:29"
"DCP114","114.0","Deer Creek","OH","Fayette","39.635888","-83.260563","01/30/2020 13:25:29"
"DCP214","214.0","Deer Creek Collocated","OH","Fayette","39.635888","-83.260563","01/30/2020 13:25:29"
"DEN417","417.0","Denali NP","AK","Denali","63.7232","-148.9676","01/30/2020 13:25:29"
"EGB181","181.0","Egbert","ON","","44.231071","-79.783115","01/30/2020 13:25:29"
"ESP127","127.0","Edgar Evins","TN","DeKalb","36.03893","-85.73305","01/30/2020 13:25:29"
"GAS153","153.0","Georgia Station","GA","Pike","33.181173","-84.410054","01/30/2020 13:25:29"
"GAS253","253.0","Georgia Station Collocated","GA","Pike","33.181173","-84.410054","01/30/2020 13:25:29"
"CON186","186.0","Converse Station","CA","San Bernardino","34.194048","-116.912977","01/30/2020 13:25:29"
"ALC188","188.0","Alabama-Coushatta Tribe of Texas","TX","Polk","30.701577","-94.674011","01/30/2020 13:25:29"
"PAL190","190.0","Palo Duro","TX","Randall","34.88061","-101.664703","01/30/2020 13:25:29"
"FOR605","605.0","Fortification Creek","WY","Campbell","44.3395","-105.9198","01/30/2020 13:25:29"
"NEC602","602.0","Newcastle","WY","Weston","43.873","-104.1919","01/30/2020 13:25:29"
"BAS601","601.0","Basin","WY","Big Horn","44.28","-108.0411","01/30/2020 13:25:29"
"BUF603","603.0","Buffalo","WY","Johnson","44.1442","-106.1089","01/30/2020 13:25:29"
"SHE604","604.0","Sheridan","WY","Sheridan","44.93","-106.85","01/30/2020 13:25:29"
"RED004","4.0","Red Lake Band of Chippewa Indians, Minnesota","MN","Beltrami","47.8638","-94.8352","01/30/2020 13:25:29"
"DIN431","431.0","Dinosaur NM","UT","Uintah","40.4373","-109.3046","01/30/2020 13:25:29"
"COW005","5.0","Coweeta Screwdriver Knob","NC","Macon","35.04826","-83.45428","01/30/2020 13:25:29"
"WFM007","7.0","Whiteface Mountain Summit","NY","Essex","44.39","-73.86","01/30/2020 13:25:29"
"NPT006","6.0","Nez Perce Tribe","ID","Idaho","46.2756","-116.0216","01/30/2020 13:25:29"
"DUK008","8.0","Duke Forest","NC","Orange","35.9745","-79.099","01/30/2020 13:25:29"
"CHC432","432.0","Chaco Culture NHP","NM","San Juan","36.035","-107.9042","01/30/2020 13:25:29"
"KIC003","3.0","Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas","KS","Brown","39.8539","-95.6578","01/30/2020 13:25:29"
"ZIO433","433.0","Zion NP - Dalton's Wash","UT","Washington","37.1983","-113.1506","01/30/2020 13:25:29"
